obs.no,agent_x,agent_y,gem_x,gem_y,rewards,action
1,200,100,-100,250,9730.741759643275,0
2,200,150,-100,200,-223.60679774997897,2
3,200,200,-100,150,-180.27756377319946,2
4,150,200,-50,150,-158.11388300841898,0
5,150,250,-50,100,-111.80339887498948,2
6,100,250,0,100,-100.0,0
7,100,300,0,50,-50.0,2
8,350,100,-250,250,9646.446609406727,2
9,350,150,-250,200,-320.1562118716424,2
10,300,150,-200,200,-282.842712474619,0
11,300,200,-200,150,-250.0,2
12,250,200,-150,150,-212.13203435596427,0
13,200,200,-100,150,-180.27756377319946,0
14,200,250,-100,100,-141.4213562373095,2
15,200,300,-100,50,-111.80339887498948,2
16,150,300,-50,50,-70.71067811865476,0
17,150,350,-50,0,-50.0,2
18,100,450,0,-100,9900.0,0
19,100,400,0,-50,-50.0,3
20,250,450,-150,-100,9819.7224362268,3
21,200,450,-100,-100,-141.4213562373095,0
22,150,450,-50,-100,-111.80339887498948,0
23,150,400,-50,-50,-70.71067811865476,3
24,100,400,0,-50,-50.0,0
25,350,150,-250,200,9679.843788128357,3
26,300,150,-200,200,-282.842712474619,0
27,300,200,-200,150,-250.0,2
28,250,200,-150,150,-212.13203435596427,0
29,200,200,-100,150,-180.27756377319946,0
30,200,250,-100,100,-141.4213562373095,2
31,200,300,-100,50,-111.80339887498948,2
32,150,300,-50,50,-70.71067811865476,0
33,150,350,-50,0,-50.0,2
34,150,300,-50,50,-70.71067811865476,3
35,150,350,-50,0,-50.0,2
36,400,300,-300,50,9695.86187348509,0
37,350,300,-250,50,-254.95097567963924,0
38,300,300,-200,50,-206.15528128088303,0
39,250,300,-150,50,-158.11388300841898,0
40,200,300,-100,50,-111.80339887498948,0
41,150,300,-50,50,-70.71067811865476,0
42,150,350,-50,0,-50.0,2
43,100,250,0,100,9900.0,0
44,100,300,0,50,-50.0,2
45,250,350,-150,0,9850.0,2
46,200,350,-100,0,-100.0,0
47,150,350,-50,0,-50.0,0
48,200,450,-100,-100,9858.57864376269,0
49,150,450,-50,-100,-111.80339887498948,0
50,100,450,0,-100,-100.0,0
51,100,400,0,-50,-50.0,3
52,300,300,-200,50,9793.844718719118,3
53,250,300,-150,50,-158.11388300841898,0
54,200,300,-100,50,-111.80339887498948,0
55,150,300,-50,50,-70.71067811865476,0
56,150,350,-50,0,-50.0,2
57,100,150,0,200,9800.0,0
58,100,200,0,150,-150.0,2
59,100,250,0,100,-100.0,2
60,100,300,0,50,-50.0,2
61,200,250,-100,100,9858.57864376269,2
62,150,250,-50,100,-111.80339887498948,0
63,150,300,-50,50,-70.71067811865476,2
64,150,350,-50,0,-50.0,2
65,350,450,-250,-100,9730.741759643275,0
66,300,450,-200,-100,-223.60679774997897,0
67,250,450,-150,-100,-180.27756377319946,0
68,200,450,-100,-100,-141.4213562373095,0
69,150,450,-50,-100,-111.80339887498948,0
70,100,450,0,-100,-100.0,0
71,100,400,0,-50,-50.0,3
72,400,50,-300,300,9575.73593128807,3
73,400,100,-300,250,-390.51248379533274,2
74,400,150,-300,200,-360.5551275463989,2
75,350,150,-250,200,-320.1562118716424,0
76,300,150,-200,200,-282.842712474619,0
77,250,150,-150,200,-250.0,0
78,200,150,-100,200,-223.60679774997897,0
79,200,200,-100,150,-180.27756377319946,2
80,150,200,-50,150,-158.11388300841898,0
81,150,250,-50,100,-111.80339887498948,2
82,150,300,-50,50,-70.71067811865476,2
83,150,350,-50,0,-50.0,2
84,450,200,-350,150,9619.211344706804,0
85,400,200,-300,150,-335.4101966249685,0
86,400,250,-300,100,-316.22776601683796,2
87,350,250,-250,100,-269.2582403567252,0
88,350,300,-250,50,-254.95097567963924,2
89,300,300,-200,50,-206.15528128088303,0
90,250,300,-150,50,-158.11388300841898,0
91,200,300,-100,50,-111.80339887498948,0
92,150,300,-50,50,-70.71067811865476,0
93,150,350,-50,0,-50.0,2
94,250,50,-150,300,9664.58980337503,0
95,250,100,-150,250,-291.547594742265,2
96,250,150,-150,200,-250.0,2
97,250,200,-150,150,-212.13203435596427,2
98,250,250,-150,100,-180.27756377319946,2
99,200,250,-100,100,-141.4213562373095,0
100,150,250,-50,100,-111.80339887498948,0
101,150,300,-50,50,-70.71067811865476,2
102,150,350,-50,0,-50.0,2
103,50,150,50,200,9793.844718719118,0
104,50,200,50,150,-158.11388300841898,2
105,50,250,50,100,-111.80339887498948,2
106,50,300,50,50,-70.71067811865476,2
107,50,350,50,0,-50.0,2
108,250,100,-150,250,9708.452405257734,1
109,200,100,-100,250,-269.2582403567252,0
110,200,150,-100,200,-223.60679774997897,2
111,200,200,-100,150,-180.27756377319946,2
112,150,200,-50,150,-158.11388300841898,0
113,150,250,-50,100,-111.80339887498948,2
114,150,300,-50,50,-70.71067811865476,2
115,150,350,-50,0,-50.0,2
116,250,150,-150,200,9750.0,0
117,200,150,-100,200,-223.60679774997897,0
118,150,150,-50,200,-206.15528128088303,0
119,150,200,-50,150,-158.11388300841898,2
120,150,250,-50,100,-111.80339887498948,2
121,150,300,-50,50,-70.71067811865476,2
122,100,300,0,50,-50.0,0
123,400,250,-300,100,9683.772233983162,2
124,350,250,-250,100,-269.2582403567252,0
125,350,300,-250,50,-254.95097567963924,2
126,300,300,-200,50,-206.15528128088303,0
127,250,300,-150,50,-158.11388300841898,0
128,200,300,-100,50,-111.80339887498948,0
129,150,300,-50,50,-70.71067811865476,0
130,150,350,-50,0,-50.0,2
131,400,350,-300,0,9700.0,0
132,350,350,-250,0,-250.0,0
133,300,350,-200,0,-200.0,0
134,250,350,-150,0,-150.0,0
135,200,350,-100,0,-100.0,0
136,200,400,-100,-50,-111.80339887498948,2
137,150,400,-50,-50,-70.71067811865476,0
138,100,400,0,-50,-50.0,0
139,50,200,50,150,9841.886116991582,3
140,50,250,50,100,-111.80339887498948,2
141,50,300,50,50,-70.71067811865476,2
142,100,300,0,50,-50.0,1
143,150,450,-50,-100,9888.19660112501,2
144,150,400,-50,-50,-70.71067811865476,3
145,100,400,0,-50,-50.0,0
146,350,150,-250,200,9679.843788128357,3
147,300,150,-200,200,-282.842712474619,0
148,250,150,-150,200,-250.0,0
149,250,200,-150,150,-212.13203435596427,2
150,200,200,-100,150,-180.27756377319946,0
151,200,250,-100,100,-141.4213562373095,2
152,150,250,-50,100,-111.80339887498948,0
153,150,300,-50,50,-70.71067811865476,2
154,150,350,-50,0,-50.0,2
155,200,200,-100,150,9819.7224362268,0
156,200,250,-100,100,-141.4213562373095,2
157,200,300,-100,50,-111.80339887498948,2
158,150,300,-50,50,-70.71067811865476,0
159,150,350,-50,0,-50.0,2
160,100,350,0,0,10000.0,0
161,100,300,0,50,-50.0,3
162,400,100,-300,250,9609.487516204666,2
163,400,150,-300,200,-360.5551275463989,2
164,400,200,-300,150,-335.4101966249685,2
165,400,250,-300,100,-316.22776601683796,2
166,350,250,-250,100,-269.2582403567252,0
167,300,250,-200,100,-223.60679774997897,0
168,250,250,-150,100,-180.27756377319946,0
169,200,250,-100,100,-141.4213562373095,0
170,150,250,-50,100,-111.80339887498948,0
171,150,300,-50,50,-70.71067811865476,2
172,150,350,-50,0,-50.0,2
173,150,250,-50,100,9888.19660112501,0
174,150,300,-50,50,-70.71067811865476,2
175,150,350,-50,0,-50.0,2
176,350,300,-250,50,9745.04902432036,0
177,300,300,-200,50,-206.15528128088303,0
178,250,300,-150,50,-158.11388300841898,0
179,200,300,-100,50,-111.80339887498948,0
180,150,300,-50,50,-70.71067811865476,0
181,150,350,-50,0,-50.0,2
182,400,350,-300,0,9700.0,0
183,350,350,-250,0,-250.0,0
184,300,350,-200,0,-200.0,0
185,250,350,-150,0,-150.0,0
186,200,350,-100,0,-100.0,0
187,150,350,-50,0,-50.0,0
188,200,450,-100,-100,9858.57864376269,0
189,150,450,-50,-100,-111.80339887498948,0
190,100,450,0,-100,-100.0,0
191,100,400,0,-50,-50.0,3
192,450,150,-350,200,9596.887112585073,3
193,400,150,-300,200,-360.5551275463989,0
194,350,150,-250,200,-320.1562118716424,0
195,300,150,-200,200,-282.842712474619,0
196,300,200,-200,150,-250.0,2
197,300,250,-200,100,-223.60679774997897,2
198,250,250,-150,100,-180.27756377319946,0
199,200,250,-100,100,-141.4213562373095,0
200,200,300,-100,50,-111.80339887498948,2
201,150,300,-50,50,-70.71067811865476,0
202,150,350,-50,0,-50.0,2
203,200,400,-100,-50,9888.19660112501,0
204,150,400,-50,-50,-70.71067811865476,0
205,150,350,-50,0,-50.0,3
206,100,150,0,200,9800.0,0
207,100,200,0,150,-150.0,2
208,100,250,0,100,-100.0,2
209,100,300,0,50,-50.0,2
