obs.no,agent_x,agent_y,gem_x,gem_y,rewards,action
1,200,200,200,200,10000.0,3
2,250,200,200,200,-50.0,1
3,200,200,200,200,10000.0,3
4,250,200,200,200,-50.0,1
5,200,200,200,200,10000.0,3
6,250,200,200,200,-50.0,1
7,200,200,200,200,10000.0,3
8,250,200,200,200,-50.0,1
9,200,200,200,200,10000.0,3
10,250,200,200,200,-50.0,1
11,200,200,200,200,10000.0,3
12,150,200,200,200,-50.0,3
13,200,200,200,200,10000.0,1
14,200,250,200,200,-50.0,0
15,200,200,200,200,10000.0,2
16,200,250,200,200,-50.0,0
17,200,200,200,200,10000.0,2
18,250,200,200,200,-50.0,1
19,200,200,200,200,10000.0,3
20,200,250,200,200,-50.0,0
21,200,200,200,200,10000.0,2
22,200,250,200,200,-50.0,0
23,200,200,200,200,10000.0,2
24,200,250,200,200,-50.0,0
25,200,200,200,200,10000.0,2
26,250,200,200,200,-50.0,1
27,200,200,200,200,10000.0,3
28,250,200,200,200,-50.0,1
29,200,200,200,200,10000.0,3
30,250,200,200,200,-50.0,1
31,200,200,200,200,10000.0,3
32,200,250,200,200,-50.0,0
33,200,200,200,200,10000.0,2
34,250,200,200,200,-50.0,1
35,200,200,200,200,10000.0,3
36,250,200,200,200,-50.0,1
37,200,200,200,200,10000.0,3
38,250,200,200,200,-50.0,1
39,250,150,200,200,-70.71067811865476,2
40,250,200,200,200,-50.0,0
41,200,200,200,200,10000.0,3
42,250,200,200,200,-50.0,1
43,200,200,200,200,10000.0,3
44,250,200,200,200,-50.0,1
45,200,200,200,200,10000.0,3
46,250,200,200,200,-50.0,1
47,200,200,200,200,10000.0,3
48,250,200,200,200,-50.0,1
49,200,200,200,200,10000.0,3
50,200,250,200,200,-50.0,0
51,200,200,200,200,10000.0,2
52,250,200,200,200,-50.0,1
53,200,200,200,200,10000.0,3
54,200,250,200,200,-50.0,0
55,200,200,200,200,10000.0,2
56,250,200,200,200,-50.0,1
57,200,200,200,200,10000.0,3
58,150,200,200,200,-50.0,3
59,200,200,200,200,10000.0,1
60,250,200,200,200,-50.0,1
61,200,200,200,200,10000.0,3
62,200,250,200,200,-50.0,0
63,200,200,200,200,10000.0,2
64,200,150,200,200,-50.0,2
65,200,200,200,200,10000.0,0
66,200,250,200,200,-50.0,0
67,200,200,200,200,10000.0,2
68,250,200,200,200,-50.0,1
69,200,200,200,200,10000.0,3
70,150,200,200,200,-50.0,3
71,200,200,200,200,10000.0,1
72,200,250,200,200,-50.0,0
73,200,200,200,200,10000.0,2
74,200,250,200,200,-50.0,0
75,250,250,200,200,-70.71067811865476,1
76,250,200,200,200,-50.0,2
77,200,200,200,200,10000.0,3
78,200,250,200,200,-50.0,0
79,200,200,200,200,10000.0,2
80,200,250,200,200,-50.0,0
81,200,200,200,200,10000.0,2
82,150,200,200,200,-50.0,3
83,200,200,200,200,10000.0,1
84,250,200,200,200,-50.0,1
85,200,200,200,200,10000.0,3
86,250,200,200,200,-50.0,1
87,200,200,200,200,10000.0,3
88,250,200,200,200,-50.0,1
89,200,200,200,200,10000.0,3
90,250,200,200,200,-50.0,1
91,200,200,200,200,10000.0,3
92,200,250,200,200,-50.0,0
93,200,200,200,200,10000.0,2
94,200,250,200,200,-50.0,0
95,200,200,200,200,10000.0,2
96,150,200,200,200,-50.0,3
97,200,200,200,200,10000.0,1
98,200,250,200,200,-50.0,0
99,200,200,200,200,10000.0,2
100,250,200,200,200,-50.0,1
101,200,200,200,200,10000.0,3
102,250,200,200,200,-50.0,1
103,200,200,200,200,10000.0,3
104,250,200,200,200,-50.0,1
105,200,200,200,200,10000.0,3
106,200,250,200,200,-50.0,0
107,200,200,200,200,10000.0,2
108,200,250,200,200,-50.0,0
109,200,200,200,200,10000.0,2
110,250,200,200,200,-50.0,1
111,200,200,200,200,10000.0,3
112,200,250,200,200,-50.0,0
113,200,200,200,200,10000.0,2
114,250,200,200,200,-50.0,1
115,200,200,200,200,10000.0,3
116,250,200,200,200,-50.0,1
117,200,200,200,200,10000.0,3
118,200,250,200,200,-50.0,0
119,200,200,200,200,10000.0,2
120,250,200,200,200,-50.0,1
121,200,200,200,200,10000.0,3
122,200,250,200,200,-50.0,0
123,200,200,200,200,10000.0,2
124,200,250,200,200,-50.0,0
125,200,200,200,200,10000.0,2
126,200,250,200,200,-50.0,0
127,200,200,200,200,10000.0,2
128,200,250,200,200,-50.0,0
129,200,200,200,200,10000.0,2
130,250,200,200,200,-50.0,1
131,200,200,200,200,10000.0,3
132,250,200,200,200,-50.0,1
133,200,200,200,200,10000.0,3
134,150,200,200,200,-50.0,3
135,200,200,200,200,10000.0,1
136,250,200,200,200,-50.0,1
137,200,200,200,200,10000.0,3
138,200,250,200,200,-50.0,0
139,200,200,200,200,10000.0,2
140,150,200,200,200,-50.0,3
141,200,200,200,200,10000.0,1
142,200,250,200,200,-50.0,0
143,200,200,200,200,10000.0,2
144,250,200,200,200,-50.0,1
145,200,200,200,200,10000.0,3
146,200,250,200,200,-50.0,0
147,200,200,200,200,10000.0,2
148,200,150,200,200,-50.0,2
149,200,200,200,200,10000.0,0
150,250,200,200,200,-50.0,1
151,200,200,200,200,10000.0,3
152,200,250,200,200,-50.0,0
153,200,200,200,200,10000.0,2
154,250,200,200,200,-50.0,1
155,200,200,200,200,10000.0,3
156,200,250,200,200,-50.0,0
157,200,200,200,200,10000.0,2
158,200,250,200,200,-50.0,0
159,200,200,200,200,10000.0,2
160,250,200,200,200,-50.0,1
161,200,200,200,200,10000.0,3
162,250,200,200,200,-50.0,1
163,200,200,200,200,10000.0,3
164,250,200,200,200,-50.0,1
165,200,200,200,200,10000.0,3
166,200,250,200,200,-50.0,0
167,200,200,200,200,10000.0,2
168,250,200,200,200,-50.0,1
169,200,200,200,200,10000.0,3
170,200,250,200,200,-50.0,0
171,200,200,200,200,10000.0,2
172,200,250,200,200,-50.0,0
173,200,200,200,200,10000.0,2
174,250,200,200,200,-50.0,1
175,200,200,200,200,10000.0,3
176,200,250,200,200,-50.0,0
177,150,250,200,200,-70.71067811865476,3
178,200,250,200,200,-50.0,1
179,200,200,200,200,10000.0,2
180,250,200,200,200,-50.0,1
181,200,200,200,200,10000.0,3
182,200,250,200,200,-50.0,0
183,200,200,200,200,10000.0,2
184,250,200,200,200,-50.0,1
185,250,150,200,200,-70.71067811865476,2
186,250,200,200,200,-50.0,0
187,200,200,200,200,10000.0,3
188,200,250,200,200,-50.0,0
189,200,200,200,200,10000.0,2
190,250,200,200,200,-50.0,1
191,200,200,200,200,10000.0,3
192,250,200,200,200,-50.0,1
193,200,200,200,200,10000.0,3
194,250,200,200,200,-50.0,1
195,200,200,200,200,10000.0,3
196,200,250,200,200,-50.0,0
197,200,200,200,200,10000.0,2
198,250,200,200,200,-50.0,1
199,200,200,200,200,10000.0,3
200,250,200,200,200,-50.0,1
201,200,200,200,200,10000.0,3
202,250,200,200,200,-50.0,1
203,200,200,200,200,10000.0,3
204,250,200,200,200,-50.0,1
205,200,200,200,200,10000.0,3
206,200,250,200,200,-50.0,0
207,200,200,200,200,10000.0,2
208,250,200,200,200,-50.0,1
209,200,200,200,200,10000.0,3
210,200,250,200,200,-50.0,0
211,200,200,200,200,10000.0,2
